id,place_id,code,name,full_name,level,province,city,county,priority,status,source_strategy,attempt_count,last_attempt_at,error,created_at,updated_at
origin:5aa4501640c1aa71edaf8862f7e747fb69590778,5aa4501640c1aa71edaf8862f7e747fb69590778,11,北京市,北京市,province,北京市,,,10,done,mca_geonames,1,2026-07-13T03:15:16.184391+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:7b9fa63bcc41c2e9ee0b65a513a4aa7701a65e2a,7b9fa63bcc41c2e9ee0b65a513a4aa7701a65e2a,12,天津市,天津市,province,天津市,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:7936c0bd87d97fa99013c7920cddd318548c7145,7936c0bd87d97fa99013c7920cddd318548c7145,13,河北省,河北省,province,河北省,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:2bdeadcc41067ebd6be3aa95aed7c399c8182659,2bdeadcc41067ebd6be3aa95aed7c399c8182659,14,山西省,山西省,province,山西省,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:3b64bc44e61b28943cc4c9d0f48d417b7ab31ef3,3b64bc44e61b28943cc4c9d0f48d417b7ab31ef3,15,内蒙古自治区,内蒙古自治区,province,内蒙古自治区,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:64e2ab5873a3cf6c99b91a446c645466b4c215a7,64e2ab5873a3cf6c99b91a446c645466b4c215a7,21,辽宁省,辽宁省,province,辽宁省,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:a3c6d64d4de3498d1728988302d10f3a542d9fdb,a3c6d64d4de3498d1728988302d10f3a542d9fdb,22,吉林省,吉林省,province,吉林省,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:0317e7aea5617a3e92736a71f3fb03df4d12426c,0317e7aea5617a3e92736a71f3fb03df4d12426c,23,黑龙江省,黑龙江省,province,黑龙江省,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:ce3f029f9768e12f1284e24de317be91d575afdc,ce3f029f9768e12f1284e24de317be91d575afdc,31,上海市,上海市,province,上海市,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
origin:9bb8012246b93591b0f5bd9cda3befdb20fcd40c,9bb8012246b93591b0f5bd9cda3befdb20fcd40c,32,江苏省,江苏省,province,江苏省,,,10,done,mca_geonames,1,2026-07-13T03:28:56.402980+00:00,,2026-07-13T03:13:57.506350+00:00,2026-07-13T05:43:50.024486+00:00
